X,Y,OBJECTID_1,OBJECTID,ID1,IND_CLADIR,JUDET,LOCALITATE,SIRUTA,TIP_CLADIR,UAT,Tip_artera,Nr_postal,Nr_post_ve,Den_Drum,Drum_vechi,verificare,NR_APARTAM,icon_url
25.876124907,44.557800229996,"2762","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-14,,Samurcasi,,"0","0",./0.png
25.8757323344243,44.5579434631998,"2763","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-16,,Samurcasi,,"0","0",./0.png
25.8753160358456,44.5580737957006,"2764","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-18,,Samurcasi,,"0","0",./0.png
25.8738911916051,44.5585857708032,"2765","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-20,,Samurcasi,,"0","0",./0.png
25.8736621550326,44.5586529645183,"2766","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-22,,Samurcasi,,"0","0",./0.png
25.873427776175,44.5587127227383,"2767","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-24,,Samurcasi,,"0","0",./0.png
25.8731962375321,44.5587874112831,"2768","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-26,,Samurcasi,,"0","0",./0.png
25.8828761554957,44.5582270104153,"2769","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-4,,Samurcasi,,"0","1",./0.png
25.8825076876844,44.5580654116103,"2770","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-6,,Samurcasi,,"0","0",./0.png
25.8822022126407,44.557920140105,"2771","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-8,,Samurcasi,,"0","1",./0.png
25.881897453859,44.5578215908423,"2772","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-10,,Samurcasi,,"0","1",./0.png
25.8815183917125,44.5576507259418,"2773","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-12,,Samurcasi,,"0","0",./0.png
25.881242216412,44.5575407373349,"2774","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-14,,Samurcasi,,"0","0",./0.png
25.8808265360013,44.5573682869305,"2775","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8B-16,,Samurcasi,,"0","0",./0.png
25.8809713062913,44.5575185544683,"2776","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C,,Samurcasi,,"0","0",./0.png
25.8807856176094,44.5576844884717,"2777","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-1,,Samurcasi,,"0","0",./0.png
25.8807409654407,44.5578418435138,"2778","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-3,,Samurcasi,,"0","0",./0.png
25.8806543765344,44.557992049616,"2779","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-5,,Samurcasi,,"0","0",./0.png
25.8805199191603,44.5582603843629,"2780","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-7,,Samurcasi,,"0","0",./0.png
25.8806859963708,44.5583506746747,"2781","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-8,,Samurcasi,,"0","0",./0.png
25.8804622543012,44.5584215795438,"2782","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-9,,Samurcasi,,"0","0",./0.png
25.8803681350465,44.5585924050039,"2783","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,8C-11,,Samurcasi,,"0","0",./0.png
